miRNA	CD56_S4	CD14_S2	CD4_S4	CD14_S1	CD56_S1	CD19_S4	CD19_S3	CD19_S1	CD4_S3	CD14_S4	CD56_S3	CD56_S2	CD4_S1	CD19_S2	CD4_S2	CD14_S3
hsa-miR-101-5p	33	21	24	29	25	15	77	54	145	30	23	58	33	93	136	30
hsa-miR-574-3p	38	791	292	270	117	49	28	24	14	1016	84	139	56	38	3	669
hsa-miR-3923	0	3	0	5	1	1	0	0	0	7	0	0	0	1	0	8
hsa-miR-4433a-5p	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-5100	23	56	44	24	89	36	27	65	31	36	37	112	70	79	26	35
hsa-miR-4723-3p	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-125b-5p	1923	757	2321	425	334	340	1064	73	10182	688	660	1869	2846	527	7581	1296
hsa-miR-3144-3p	2	1	3	1	1	1	5	3	2	1	4	0	0	0	1	1
hsa-miR-339-5p	1667	2001	1434	1320	2892	672	948	1913	588	4459	1866	3204	672	1977	661	3516
hsa-miR-200a-5p	15	43	12	33	22	12	38	33	8	35	28	38	14	26	4	68
hsa-miR-6720-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-8079	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1
hsa-miR-660-3p	4	18	1	8	10	3	8	6	4	11	5	10	4	6	6	14
hsa-miR-5571-5p	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
hsa-miR-708-3p	14	212	213	45	12	323	179	74	5	1222	140	139	23	299	8	13
hsa-miR-4712-3p	1	0	1	1	2	2	4	2	3	6	3	0	6	0	3	2
hsa-miR-3670	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
hsa-miR-23c	0	0	0	1	0	0	0	0	2	0	0	2	0	0	1	0
hsa-miR-370-5p	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1
hsa-miR-3680-5p	5	6	1	9	6	2	3	3	0	6	3	3	2	0	1	15
hsa-miR-6853-3p	11	8	6	8	6	3	4	3	2	10	5	8	5	4	3	8
hsa-miR-6128	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4755-5p	14	70	12	30	18	11	11	6	9	45	33	27	17	8	7	49
hsa-miR-516b-5p	0	2	9	5	2	0	4	1	6	5	4	0	4	1	4	1
hsa-miR-6823-5p	0	6	1	5	0	1	1	2	0	3	1	1	1	2	0	6
hsa-miR-6871-3p	0	0	1	0	1	0	0	0	0	1	2	0	0	1	0	0
hsa-miR-1269b	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-3934-3p	1	0	0	0	0	0	0	0	1	0	3	3	1	1	1	0
hsa-miR-6750-3p	0	1	0	0	2	0	0	0	1	0	1	5	1	1	0	0
hsa-miR-598-3p	766	186	225	257	1124	390	1389	1451	595	310	1016	1796	383	1271	655	324
hsa-miR-382-3p	2	2	3	13	4	2	4	6	0	13	7	8	2	0	0	4
hsa-miR-335-3p	527	876	524	693	265	419	636	573	497	903	518	845	570	588	542	888
hsa-miR-520a-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-338-3p	498	489	144	523	2168	81	94	74	77	572	1024	969	509	89	100	670
hsa-miR-1301-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
hsa-miR-4691-5p	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-7151-5p	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-6763-3p	1	4	5	4	15	6	3	8	5	4	8	9	10	9	5	5
hsa-miR-676-3p	15	3	2	2	5	2	7	0	41	2	7	32	8	7	39	9
hsa-miR-7152-5p	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4793-5p	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
hsa-miR-9903	10	132	12	155	23	3	14	6	5	129	16	28	11	12	0	202
hsa-miR-1343-3p	7	14	18	8	8	4	2	1	2	33	16	7	8	1	2	16
hsa-miR-3074-5p	39	109	41	69	93	17	24	19	14	154	72	88	25	22	11	155
hsa-miR-1237-3p	2	2	2	1	0	2	0	0	1	3	3	1	5	0	0	1
hsa-miR-12131	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-1289	1	2	1	5	1	0	0	0	0	2	0	3	0	0	3	3
hsa-miR-4802-5p	0	15	1	16	1	0	0	1	0	29	2	1	2	0	0	39
hsa-miR-6839-5p	10	8	6	13	8	4	8	14	0	5	24	10	7	6	2	6
hsa-miR-4501	0	3	1	0	1	0	2	2	0	5	1	1	0	1	0	2
hsa-miR-4435	1	0	1	0	4	0	1	0	0	4	0	1	0	1	0	8
hsa-miR-3680-3p	6	9	4	6	4	2	4	4	3	6	4	2	3	1	4	13
hsa-miR-4471	0	0	0	1	0	0	1	4	0	0	0	0	1	0	0	2
hsa-miR-299-3p	2	0	0	1	3	1	0	1	0	0	1	2	3	0	0	1
hsa-miR-4648	2	2	0	6	1	1	2	2	1	7	4	4	1	4	2	8
hsa-miR-3689d	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0
hsa-miR-769-3p	7	4	6	5	15	2	2	3	2	22	3	11	9	5	2	17
hsa-miR-6513-5p	2	10	7	5	6	1	4	4	5	3	3	8	2	1	3	4
hsa-miR-363-5p	46	16	5	7	54	4	13	18	20	9	58	68	9	29	12	14
hsa-miR-193a-5p	105	868	215	395	163	83	147	262	27	695	151	159	58	168	46	659
hsa-miR-1262	9	159	26	258	11	6	3	1	0	189	9	9	5	0	2	242
hsa-miR-6881-5p	3	0	4	2	1	0	3	1	1	0	0	2	0	0	0	2
hsa-miR-320b	63	84	46	32	49	71	75	159	111	110	58	150	132	157	126	109
hsa-miR-6848-5p	0	5	2	4	3	3	2	3	2	2	5	4	1	1	0	2
hsa-let-7g-3p	51	13	28	12	37	18	60	60	60	21	65	87	36	47	72	40
hsa-miR-4718	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1
hsa-let-7c-3p	0	0	0	2	1	0	1	0	12	0	1	3	1	0	4	0
hsa-miR-4742-3p	24	42	20	29	20	11	17	19	9	47	13	24	12	15	17	45
hsa-miR-452-5p	5	13	8	6	7	3	1	3	1	26	6	8	0	4	1	8
hsa-miR-5701	1287	276	1023	137	1322	1279	995	1303	950	623	1022	1016	757	1161	1120	354
hsa-miR-593-3p	0	2	0	1	1	1	0	1	0	4	1	0	2	1	2	3
hsa-miR-4321	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-29b-1-5p	144	138	83	69	88	87	154	152	221	33	107	184	138	208	212	89
hsa-miR-1231	1	2	0	2	2	0	2	0	3	1	2	2	6	1	1	2
hsa-miR-7155-5p	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-670-5p	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	2
hsa-miR-4774-5p	1	8	1	5	1	0	0	1	0	6	1	3	0	3	0	9
hsa-miR-7855-5p	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-553	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4659a-5p	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-4491	27	7	0	6	8	66	171	115	0	3	4	22	4	76	4	11
hsa-miR-3611	32	50	13	33	39	7	20	26	22	45	44	53	30	24	18	59
hsa-miR-3149	15	22	10	32	12	1	10	8	3	16	11	10	5	5	8	26
hsa-miR-647	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-219a-2-3p	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1
hsa-miR-644a	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1
hsa-miR-297	1	3	0	1	6	1	1	3	0	2	0	1	1	0	0	5
hsa-miR-632	9	18	4	11	25	14	10	32	5	17	11	32	22	23	8	16
hsa-miR-4322	1	2	0	0	0	0	1	1	1	1	0	2	0	1	1	1
hsa-miR-4483	8	2	0	1	4	4	11	2	0	6	2	8	0	4	0	2
hsa-miR-8066	1	1	1	0	1	0	0	0	1	1	0	0	2	0	0	1
hsa-miR-6753-3p	1	3	0	7	3	2	1	2	2	15	2	0	1	0	1	3
hsa-miR-5003-3p	1	2	1	5	0	0	1	1	2	1	4	2	3	0	0	5
hsa-miR-2052	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0
hsa-miR-567	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2
hsa-miR-4533	1	0	1	2	1	1	0	0	1	2	0	0	1	0	1	1
hsa-miR-452-3p	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0
hsa-miR-6505-5p	0	10	1	8	2	1	0	1	2	10	0	2	4	2	4	8
hsa-miR-1269a	0	0	1	1	0	0	0	1	0	0	3	0	0	0	0	1
hsa-miR-4662b	1	0	0	1	1	1	0	2	0	0	1	0	1	1	0	0
hsa-miR-4638-3p	2	0	0	0	1	0	0	0	0	0	4	1	0	1	0	3
hsa-miR-4464	10	3	0	2	10	23	121	205	0	0	1	26	0	146	0	12
hsa-miR-1243	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3167	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1
hsa-miR-8075	0	1	0	0	0	0	1	0	2	0	3	0	2	1	0	2
hsa-miR-548au-3p	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8074	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-892b	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-3064-5p	13	24	6	16	16	9	14	19	11	38	11	25	9	15	5	38
hsa-miR-621	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-212-5p	99	46	22	27	142	18	30	4	32	70	167	272	35	5	30	93
hsa-miR-6762-3p	1	3	2	0	2	0	1	1	0	1	0	0	0	0	0	2
hsa-miR-6505-3p	0	4	1	0	1	0	1	0	0	2	1	1	2	1	1	9
hsa-miR-331-3p	82	144	86	79	149	37	69	108	34	163	52	164	48	89	41	155
hsa-miR-6810-5p	0	20	3	6	1	1	1	0	1	17	2	3	2	0	0	11
hsa-miR-6842-5p	14	33	17	38	30	11	15	33	7	42	22	42	15	30	11	48
hsa-miR-761	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1
hsa-miR-4490	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0
hsa-miR-4639-5p	0	5	2	5	4	1	1	1	1	7	3	1	0	0	1	3
hsa-miR-6737-5p	1	3	0	1	0	2	0	1	0	5	0	1	1	0	0	3
hsa-miR-29b-2-5p	254	340	204	262	284	209	374	447	323	315	224	405	281	390	355	467
hsa-miR-8069	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1
hsa-miR-4696	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-508-3p	6	2	66	2	27	10	5	3	39	8	10	16	146	1	20	1
hsa-miR-1304-3p	57	782	182	545	117	39	79	61	38	1221	94	139	84	31	22	1154
hsa-miR-5579-5p	0	2	0	2	0	0	0	0	0	2	0	3	0	0	0	0
hsa-miR-20b-3p	173	80	38	65	220	43	69	75	46	69	308	301	34	28	34	121
hsa-miR-3171	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4703-3p	0	0	0	5	0	1	1	0	0	1	0	1	3	0	1	1
hsa-miR-223-5p	980	6394	3407	5422	1704	1118	2660	4446	134	13261	1490	2185	889	2109	63	10688
hsa-miR-4274	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
hsa-miR-2355-3p	97	800	262	867	191	84	79	130	43	1515	360	186	55	73	38	851
hsa-miR-3164	1	39	19	46	9	2	3	5	0	48	7	6	2	4	5	62
hsa-miR-3666	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1
hsa-miR-542-3p	54	949	63	981	92	8	43	16	46	552	29	105	123	22	21	1462
hsa-miR-6806-3p	8	21	5	26	6	1	8	5	6	12	7	17	3	3	2	34
hsa-miR-4504	13	32	21	37	7	9	8	6	11	64	10	19	11	4	6	56
hsa-miR-12132	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1
hsa-miR-1294	72	45	30	67	80	31	39	26	18	60	129	81	18	24	10	71
hsa-miR-3689a-5p	0	0	0	1	0	1	0	8	0	0	0	0	0	0	0	0
hsa-miR-4675	0	0	0	2	2	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-4797-5p	0	1	0	2	0	0	0	1	0	2	2	0	0	0	0	1
hsa-miR-1914-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-147b-3p	11	14	12	25	21	9	14	15	8	28	37	38	14	5	12	25
hsa-miR-5011-3p	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-218-5p	2	3	2	0	58	1	0	0	0	1	42	15	2	1	1	1
hsa-miR-6811-3p	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-6847-3p	0	2	2	5	0	0	1	1	2	0	0	0	2	0	0	0
hsa-miR-10525-3p	0	1	0	0	0	0	0	1	0	2	0	2	0	0	0	0
hsa-miR-4659b-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-511-3p	0	2	3	1	0	0	1	1	0	7	1	1	1	0	0	3
hsa-miR-500b-5p	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-4474-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-1193	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-409-3p	70	59	46	82	96	87	34	27	2	316	112	111	57	22	2	74
hsa-miR-4635	1	4	4	2	0	0	1	4	3	5	5	3	0	1	1	3
hsa-miR-4676-3p	2	16	7	13	9	1	5	7	1	17	6	16	0	1	3	16
hsa-miR-9500	0	1	0	6	0	1	0	0	1	2	0	0	0	0	0	1
hsa-miR-548aj-5p	10	7	1	13	6	3	7	8	8	6	6	7	5	18	5	9
hsa-miR-651-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ah-5p	0	2	0	19	1	0	1	1	0	7	0	0	0	0	0	4
hsa-miR-4750-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-548e-3p	581	2511	534	4110	441	213	1032	735	268	2779	758	788	368	363	288	3126
hsa-miR-548u	28	106	20	116	40	17	33	36	22	107	51	36	26	17	12	153
hsa-miR-512-3p	5	0	1	2	2	0	5	1	2	3	6	1	0	0	1	8
hsa-miR-4511	10	31	8	29	15	1	13	19	6	40	10	15	4	8	9	55
hsa-miR-3609	62	94	65	49	218	82	75	164	69	79	66	216	148	109	91	54
hsa-miR-548av-5p	1	2	0	2	0	0	1	2	0	4	1	3	1	0	0	1
hsa-miR-548ab	39	85	42	144	45	14	21	35	8	157	77	66	12	13	16	150
hsa-miR-548at-5p	1	12	2	12	1	1	0	9	1	9	0	1	1	5	0	1
hsa-miR-522-3p	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-105-5p	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	2
hsa-miR-95-5p	11	1	4	2	8	4	13	14	13	3	8	13	11	9	20	3
hsa-miR-4432	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-5188	0	0	1	2	1	0	3	0	2	2	0	3	4	1	0	2
hsa-miR-4714-5p	1	0	1	0	1	0	1	0	2	2	1	5	2	0	2	2
hsa-miR-3910	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3613-3p	23	115	40	61	83	8	6	26	7	157	16	105	10	39	6	121
hsa-miR-548bc	541	533	266	636	776	236	553	621	210	799	927	957	351	339	275	793
hsa-miR-548ah-3p	33	179	55	146	72	23	34	24	21	150	61	89	23	19	25	217
hsa-miR-3163	1	6	0	9	3	1	1	1	0	2	3	2	1	1	0	5
hsa-miR-513a-3p	0	0	3	0	0	0	0	0	0	0	3	2	2	0	0	0
hsa-miR-548ar-3p	24	19	3	24	26	5	23	15	9	18	15	37	11	10	6	27
hsa-miR-548ad-3p	0	1	0	3	1	0	5	0	0	5	0	1	0	0	0	2
hsa-miR-4716-3p	3	5	1	1	2	0	4	0	3	0	5	8	7	0	1	2
hsa-miR-12135	131	278	81	145	367	126	250	380	148	360	127	401	106	431	210	293
hsa-miR-551b-5p	0	0	1	1	0	1	0	0	2	1	0	4	4	0	0	1
hsa-miR-4719	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-219b-3p	1	0	1	3	2	2	1	3	1	1	1	5	1	0	0	2
hsa-miR-548ao-3p	15	1	9	0	24	14	21	12	30	4	39	54	28	17	25	4
hsa-miR-193a-3p	3	6	2	8	3	0	1	5	0	9	3	2	0	3	1	5
hsa-miR-193b-3p	11	1	15	0	7	21	14	10	23	2	3	18	14	23	23	1
hsa-miR-208a-3p	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2
hsa-miR-708-5p	2	61	43	8	1	12	9	6	2	209	29	23	1	87	3	2
hsa-miR-3120-3p	8	7	2	11	1	1	5	2	2	20	10	7	1	2	0	4
hsa-miR-548l	8	110	16	101	18	4	9	11	5	85	10	36	3	8	4	102
hsa-miR-1288-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-96-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-616-3p	26	46	15	50	36	12	16	26	19	35	33	44	22	15	15	58
hsa-miR-889-5p	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
hsa-miR-182-5p	118	67	92	75	141	351	672	448	46	282	149	204	179	224	68	182
hsa-miR-5197-3p	1	0	0	3	1	0	0	0	0	2	0	0	0	2	0	0
hsa-miR-6828-5p	2	1	2	1	2	0	2	1	1	0	2	2	1	1	0	0
hsa-miR-605-3p	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-3671	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-7705	33	75	20	71	19	8	22	29	17	77	27	26	16	18	10	61
hsa-miR-4671-3p	0	1	1	2	1	0	0	0	0	2	0	2	2	0	0	5
hsa-miR-450b-5p	124	2641	174	3687	179	20	87	18	74	1288	70	264	211	34	28	4376
hsa-miR-6077	0	0	1	0	0	1	1	3	0	1	0	0	2	4	0	0
hsa-miR-7161-5p	2	0	1	1	0	0	0	3	0	0	2	0	0	1	0	0
hsa-miR-7853-5p	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	1
hsa-miR-215-5p	171	39	138	36	191	41	196	156	253	50	168	339	266	119	421	73
hsa-miR-548d-5p	2	15	1	14	3	1	5	3	3	15	4	7	4	3	3	26
hsa-miR-548j-5p	28	17	8	7	49	7	5	9	2	46	31	46	2	4	1	38
hsa-miR-576-5p	119	128	114	142	300	74	183	322	149	389	87	346	81	264	197	152
hsa-miR-3938	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1
hsa-miR-557	0	0	0	1	0	0	0	1	1	0	3	1	0	3	1	0
hsa-miR-132-3p	212	71	48	36	409	63	92	37	126	55	349	647	108	71	138	72
hsa-miR-3663-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-373-5p	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-4699-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-200b-5p	23	20	8	20	33	5	23	30	8	15	23	40	7	41	3	29
hsa-miR-6788-3p	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-302d-5p	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4436b-5p	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0
hsa-miR-6075	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-4757-5p	1	0	1	1	2	0	1	0	1	0	2	1	0	0	0	2
hsa-miR-4759	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
hsa-miR-550b-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-766-3p	87	42	100	14	182	115	81	105	107	87	97	173	98	169	108	42
hsa-miR-92b-3p	387	497	592	155	272	273	276	208	784	501	281	802	1199	260	763	367
hsa-miR-1251-5p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-181b-3p	49	376	71	646	124	28	65	98	37	350	102	132	87	34	19	444
hsa-miR-5586-3p	1	2	0	2	0	0	0	0	0	2	0	2	0	0	0	3
hsa-miR-6857-3p	1	8	4	2	6	1	3	0	1	19	1	3	0	1	0	8
hsa-miR-5002-3p	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-4439	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0
hsa-miR-422a	0	1	0	1	2	0	0	1	1	0	0	0	0	0	0	1
hsa-miR-1273h-3p	373	905	401	445	449	376	501	569	140	1117	541	550	334	423	135	1067
hsa-miR-548aq-3p	441	97	191	84	108	201	431	99	352	354	604	189	87	80	111	392
hsa-miR-4637	2	0	1	3	3	1	0	0	1	2	1	3	2	2	8	0
hsa-miR-217-5p	0	0	0	8	0	0	0	1	0	3	0	0	0	0	0	2
hsa-miR-7702	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0
hsa-miR-324-3p	71	97	85	66	134	41	67	129	59	175	87	175	67	71	63	150
hsa-miR-200c-3p	4568	5993	2168	3365	3718	1581	4143	4631	2886	4444	4553	6169	2636	3576	2016	8410
hsa-let-7i-3p	119	61	82	46	137	75	243	315	121	52	139	313	103	282	202	70
hsa-miR-93-3p	28	160	40	83	96	17	33	36	11	169	56	84	32	38	21	148
hsa-miR-203b-3p	0	0	0	0	1	1	3	0	1	0	0	2	0	0	0	0
hsa-miR-1305	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0
hsa-miR-519a-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4693-5p	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6837-3p	18	45	4	43	19	12	21	23	2	45	16	21	9	14	9	59
hsa-miR-1278	23	33	11	67	27	3	29	11	11	48	36	45	12	11	7	48
hsa-miR-643	17	70	17	67	35	7	22	45	24	59	40	48	26	22	41	67
hsa-miR-4753-3p	1	0	2	4	0	1	3	1	2	0	1	1	1	3	6	3
hsa-miR-3613-5p	885	22340	2012	26103	1624	297	661	412	231	12200	1447	2498	696	531	138	19765
hsa-miR-383-5p	5	0	1	1	2	32	11	6	0	1	1	1	2	1	0	2
hsa-miR-1252-5p	1	0	9	18	0	4	3	1	0	90	2	1	1	0	0	0
hsa-miR-6770-5p	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0
hsa-miR-631	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0
hsa-miR-4725-5p	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3194-5p	3	0	2	3	4	0	1	3	1	3	7	4	3	2	0	0
hsa-miR-4317	1	0	2	1	0	0	0	0	1	1	0	1	0	0	0	1
hsa-miR-556-5p	2	12	2	12	0	0	0	0	0	11	5	2	1	0	0	7
hsa-miR-3924	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
hsa-miR-626	0	1	1	2	2	5	9	7	0	1	5	3	1	4	0	4
hsa-miR-3065-3p	3	7	2	9	8	1	1	2	0	12	1	4	4	2	2	7
hsa-miR-449b-3p	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-505-5p	181	293	59	207	319	74	143	286	130	149	188	416	131	182	107	247
hsa-miR-7706	78	318	144	175	123	61	57	57	29	628	103	165	66	44	32	445
hsa-miR-5587-3p	0	1	3	0	1	0	2	0	1	2	0	3	0	2	0	4
hsa-miR-4746-3p	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0
hsa-miR-4642	0	2	1	3	3	0	1	1	0	2	1	2	0	0	0	1
hsa-miR-1226-3p	5	25	39	14	15	4	2	2	3	45	5	12	10	5	3	43
hsa-miR-6502-5p	4	90	24	144	10	7	5	1	1	167	4	12	4	0	2	273
hsa-miR-4324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6508-5p	0	2	0	1	0	1	0	1	0	0	2	1	0	2	0	0
hsa-miR-3662	1	4	1	3	0	1	0	0	1	2	1	1	1	2	2	1
hsa-miR-6813-3p	0	4	2	0	3	0	0	0	0	0	0	3	1	1	0	1
hsa-miR-5094	0	2	1	5	0	0	1	0	0	3	2	1	0	0	0	2
hsa-miR-5707	1	1	0	1	1	0	0	0	0	2	0	0	0	0	0	2
hsa-miR-600	2	4	1	4	4	4	11	13	0	8	2	4	1	12	1	3
hsa-miR-1324	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-656-3p	2	0	1	2	3	4	0	1	0	8	4	5	0	2	1	2
hsa-miR-6751-3p	1	3	2	0	2	2	1	4	0	2	1	0	0	1	1	2
hsa-miR-641	25	47	13	22	26	10	11	17	6	37	34	24	9	24	12	50
hsa-miR-3180-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3529-5p	0	2	1	2	0	0	1	0	0	2	0	0	0	1	1	1
hsa-miR-3614-3p	2	3	4	0	2	1	5	2	0	5	2	0	1	3	1	5
hsa-miR-6875-3p	1	1	0	0	1	0	1	2	0	0	0	0	1	0	0	0
hsa-miR-6855-3p	5	6	3	2	6	4	3	4	6	5	5	8	3	2	5	11
hsa-miR-4798-5p	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0
hsa-miR-365a-5p	0	3	2	2	1	3	2	0	3	6	3	0	0	3	3	9
hsa-miR-4766-5p	0	3	0	1	0	0	1	3	4	2	1	0	0	1	1	1
hsa-miR-548c-3p	5	1	2	3	5	0	0	1	3	6	5	7	5	1	6	1
hsa-miR-335-5p	48	70	38	51	33	35	64	66	33	62	39	89	31	100	62	68
hsa-miR-4330	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
hsa-miR-6078	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-3976	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-4722-5p	1	4	1	0	2	0	1	0	0	3	1	0	0	0	0	10
hsa-miR-376c-3p	1	2	1	0	3	1	0	1	1	2	0	0	3	1	0	0
hsa-miR-4737	0	1	2	1	0	0	1	0	2	1	0	0	2	0	0	1
hsa-miR-6529-5p	1	0	0	0	2	1	3	0	1	0	0	0	0	0	1	0
hsa-miR-488-5p	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4760-5p	1	2	0	0	2	0	2	0	1	0	1	1	0	2	1	0
hsa-miR-1287-5p	454	242	182	284	597	66	157	141	188	440	685	590	171	90	191	530
hsa-miR-369-5p	3	4	10	8	10	3	1	1	0	26	12	11	8	0	0	7
hsa-miR-891a-5p	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	1
hsa-miR-548e-5p	3	15	1	2	4	1	5	7	2	7	5	10	3	4	1	6
hsa-miR-424-5p	22	368	19	351	50	7	30	8	59	87	5	74	55	28	25	243
hsa-miR-214-3p	2	1	2	1	7	5	3	2	5	4	0	4	7	7	3	3
hsa-miR-6838-5p	1	4	0	2	3	1	3	0	3	5	6	14	3	4	1	6
hsa-miR-7158-3p	1	0	0	4	0	0	0	2	0	3	12	2	0	0	0	2
